state, Consumption Expenditures (Millions)
Connecticut,219068
Maine,77287
Massachusetts,448337
New Hampshire,84869
Rhode Island,57771
Vermont,36069
Delaware,55535
District of Columbia,57595
Maryland,324575
New Jersey,556465
New York,1152505
Pennsylvania,696634
Illinois,683721
Indiana,318274
Michigan,496511
Ohio,561567
Wisconsin,290411
Iowa,145481
Kansas,135312
Minnesota,302148
Missouri,300328
Nebraska,97455
North Dakota,41013
South Dakota,44579
Alabama,215105
Arkansas,128662
Florida,1234951
Georgia,517335
Kentucky,199412
Louisiana,207377
Mississippi,116654
North Carolina,511778
South Carolina,244163
Tennessee,326338
Virginia,452040
West Virginia,78923
Arizona,368867
New Mexico,91584
Oklahoma,169016
Texas,1473924
Colorado,346723
Idaho,84364
Montana,58291
Utah,162917
Wyoming,30466
Alaska,43413
California,2352362
Hawaii,78714
Nevada,161819
Oregon,221162
Washington,440420